id,topic,subtopic,case_context,additional_context,question,marks,acceptable_answers,feedback,generated_at
SAQ_ECC102A1_Q4,C. Respiratory system,Histology of the respiratory system,A 22-year-old medical student participates in a respiratory physiology workshop. They are hooked up to a spirometer and then perform a series of exercise tests to observe changes in ventilation and lung function.,"To reinforce their understanding of the gas exchange surface, the instructor shows the student a high-magnification micrograph of the alveoli.",Identify the squamous cell type that forms 95% of the alveolar surface area and name the cuboidal cell type responsible for producing pulmonary surfactant.,2,"[""Type I pneumocyte and Type II pneumocyte"", ""Type 1 alveolar cell and Type 2 alveolar cell"", ""Type I pneumocytes and Type II pneumocytes""]","[Subtopic: Histology of the respiratory system] Type I pneumocytes are extremely thin squamous cells optimized for gas exchange, covering the vast majority of the alveolar surface. Type II pneumocytes are cuboidal cells that secrete pulmonary surfactant and act as progenitor cells for Type I cells.",2026-05-16T10:20:15.547863
SAQ_ECC102A1_Q5,C. Respiratory system,Physiological features of the respiratory system,A 22-year-old medical student participates in a respiratory physiology workshop. They are hooked up to a spirometer and then perform a series of exercise tests to observe changes in ventilation and lung function.,The student asks why the smallest alveoli in the lungs do not simply collapse into the larger ones during expiration.,"State the physical law that relates the collapsing pressure of an alveolus to its surface tension and radius, and identify the primary phospholipid component of surfactant that prevents this collapse.",2,"[""Laplace's Law and DPPC"", ""Law of Laplace and Dipalmitoylphosphatidylcholine"", ""Laplace's Law and Dipalmitoyl lecithin""]","[Subtopic: Physiological features of the respiratory system] Laplace's Law (P=2T/r) states that collapsing pressure (P) is proportional to surface tension (T) and inversely proportional to radius (r). Surfactant, primarily composed of dipalmitoylphosphatidylcholine (DPPC), reduces surface tension more effectively in smaller alveoli, preventing collapse.",2026-05-16T10:20:15.547865
SAQ_F983EA95_Q1,D. Gastrointestinal tract and liver (GI-L),"Anatomical features of the gastrointestinal tract and liver, and abdomen","A 24-year-old man presents with dull, poorly localized pain in the epigastric region of his abdomen.",,"Name the major sympathetic nerve plexus through which visceral afferent fibers from the stomach and proximal duodenum pass to reach the spinal cord, leading to referred pain in this region.",2,"[""Celiac plexus"", ""Coeliac plexus""]","[Subtopic: Anatomical features of the gastrointestinal tract and liver, and abdomen] Visceral afferent fibers from the foregut follow the sympathetic pathways (via the greater splanchnic nerves) back to the celiac plexus and then to the T5-T9 spinal segments. Because these segments also receive somatic input from the epigastric skin, the pain is referred to that region.",2026-05-16T10:20:40.841718
SAQ_F983EA95_Q2,D. Gastrointestinal tract and liver (GI-L),ILA 5 - Gastritis and Appendicitis,"A 24-year-old man presents with dull, poorly localized pain in the epigastric region of his abdomen.",The patient's stomach is functioning normally to produce digestive secretions.,Identify the specific cell type located within the gastric glands that is responsible for the secretion of hydrochloric acid (HCl) and intrinsic factor.,2,"[""Parietal cell"", ""Parietal cells"", ""Oxyntic cell"", ""Oxyntic cells""]",[Subtopic: ILA 5 - Gastritis and Appendicitis] Parietal cells (also known as oxyntic cells) are found in the gastric pits/glands of the fundus and body of the stomach. They produce HCl to lower the pH of the stomach and intrinsic factor for Vitamin B12 absorption.,2026-05-16T10:20:40.841726
SAQ_F983EA95_Q3,D. Gastrointestinal tract and liver (GI-L),"Anatomical features of the gastrointestinal tract and liver, and abdomen","A 24-year-old man presents with dull, poorly localized pain in the epigastric region of his abdomen.",Proper blood supply is essential for the maintenance of the gastric mucosal barrier.,"Name the main arterial trunk, which branches directly from the abdominal aorta at the level of T12, that provides the primary blood supply to the stomach and other foregut structures.",2,"[""Celiac trunk"", ""Coeliac trunk"", ""Celiac artery"", ""Coeliac artery""]","[Subtopic: Anatomical features of the gastrointestinal tract and liver, and abdomen] The celiac trunk is the first major branch of the abdominal aorta. It divides into the left gastric, splenic, and common hepatic arteries to supply the foregut.",2026-05-16T10:20:40.841728
SAQ_F983EA95_Q4,D. Gastrointestinal tract and liver (GI-L),Histology of the gastrointestinal tract and liver,"A 24-year-old man presents with dull, poorly localized pain in the epigastric region of his abdomen.",The stomach has unique histological features to facilitate the mechanical churning of food.,State the specific muscular layer of the muscularis externa that is unique to the stomach compared to the rest of the gastrointestinal tract.,2,"[""Oblique layer"", ""Inner oblique layer"", ""Oblique""]","[Subtopic: Histology of the gastrointestinal tract and liver] Unlike the rest of the GI tract which typically has two layers of smooth muscle (inner circular and outer longitudinal), the stomach has a third, innermost layer called the oblique layer to assist in mechanical digestion.",2026-05-16T10:20:40.841729
SAQ_F983EA95_Q5,D. Gastrointestinal tract and liver (GI-L),Embryonic development of the gastrointestinal tract and liver,"A 24-year-old man presents with dull, poorly localized pain in the epigastric region of his abdomen.",The final position of the stomach is determined by specific movements during embryogenesis.,State the degree (in degrees) and the direction of rotation the stomach undergoes around its longitudinal axis during embryonic development.,2,"[""90 degrees clockwise"", ""90 degrees, clockwise"", ""90\u00b0 clockwise""]","[Subtopic: Embryonic development of the gastrointestinal tract and liver] During development, the stomach rotates 90 degrees clockwise around its longitudinal axis. This results in the left vagus nerve becoming the anterior vagal trunk and the right vagus nerve becoming the posterior vagal trunk.",2026-05-16T10:20:40.841731
SAQ_26D19DCD_Q1,E. Neuroscience,Neuroanatomy,"A 28-year-old man is brought to the Emergency Department following a high-impact road traffic collision. He has sustained a vertebral fracture. Neurological examination reveals a loss of pain and temperature sensation on his right side below the level of the umbilicus, while proprioception and vibration sense are preserved on that side.",,Name the specific ascending spinal tract that transmits pain and temperature information to the brain.,2,"[""Lateral spinothalamic tract"", ""Spinothalamic tract"", ""Anterolateral system""]",[Subtopic: Neuroanatomy] The lateral spinothalamic tract is responsible for the transmission of pain (nociception) and temperature information from the periphery to the thalamus.,2026-05-16T10:21:02.718992
SAQ_26D19DCD_Q2,E. Neuroscience,Neuroanatomy,"A 28-year-old man is brought to the Emergency Department following a high-impact road traffic collision. He has sustained a vertebral fracture. Neurological examination reveals a loss of pain and temperature sensation on his right side below the level of the umbilicus, while proprioception and vibration sense are preserved on that side.",Sensory information from the skin is organized into dermatomes corresponding to specific spinal cord segments.,Identify the spinal cord segment that corresponds to the dermatome at the level of the umbilicus.,1,"[""T10"", ""T10 spinal segment"", ""T10 dermatome""]",[Subtopic: Neuroanatomy] The T10 spinal segment provides the sensory innervation for the skin surrounding the umbilicus.,2026-05-16T10:21:02.719000
SAQ_26D19DCD_Q3,E. Neuroscience,Neurophysiology,"A 28-year-old man is brought to the Emergency Department following a high-impact road traffic collision. He has sustained a vertebral fracture. Neurological examination reveals a loss of pain and temperature sensation on his right side below the level of the umbilicus, while proprioception and vibration sense are preserved on that side.","To perceive a stimulus, an action potential must be generated and propagated along the primary afferent neuron.","During the depolarisation phase of an action potential, which specific ion channel opens to allow a rapid influx of ions into the axon?",2,"[""Voltage-gated sodium channels"", ""Voltage-gated Na+ channels"", ""Voltage-gated Na channels""]","[Subtopic: Neurophysiology] Depolarisation is driven by the opening of voltage-gated sodium channels, allowing Na+ to enter the cell down its electrochemical gradient.",2026-05-16T10:21:02.719002
SAQ_26D19DCD_Q4,E. Neuroscience,Neurophysiology,"A 28-year-old man is brought to the Emergency Department following a high-impact road traffic collision. He has sustained a vertebral fracture. Neurological examination reveals a loss of pain and temperature sensation on his right side below the level of the umbilicus, while proprioception and vibration sense are preserved on that side.",The primary afferent neuron in the pain pathway synapses with a second-order neuron within the dorsal horn of the spinal cord.,Name the primary excitatory neurotransmitter released by the first-order neuron at this synapse in the pain pathway.,2,"[""Glutamate"", ""Substance P""]","[Subtopic: Neurophysiology] Glutamate is the primary fast excitatory neurotransmitter in the CNS, while Substance P is a neuropeptide involved in the transmission of pain signals.",2026-05-16T10:21:02.719003
SAQ_26D19DCD_Q5,E. Neuroscience,Neuroanatomy,"A 28-year-old man is brought to the Emergency Department following a high-impact road traffic collision. He has sustained a vertebral fracture. Neurological examination reveals a loss of pain and temperature sensation on his right side below the level of the umbilicus, while proprioception and vibration sense are preserved on that side.",The injury occurred at the level of the thoracic vertebrae.,State one anatomical feature of a typical thoracic vertebra that distinguishes it from cervical or lumbar vertebrae.,1,"[""Costal facets"", ""Facets for rib articulation"", ""Heart-shaped body"", ""Long downward pointing spinous process"", ""Long spinous process""]",[Subtopic: Neuroanatomy] Thoracic vertebrae are unique because they possess costal facets (on the bodies and transverse processes) for articulation with the ribs.,2026-05-16T10:21:02.719005
SAQ_26D19DCD_Q6,E. Neuroscience,Neurophysiology,"A 28-year-old man is brought to the Emergency Department following a high-impact road traffic collision. He has sustained a vertebral fracture. Neurological examination reveals a loss of pain and temperature sensation on his right side below the level of the umbilicus, while proprioception and vibration sense are preserved on that side.",Pain perception involves different types of nerve fibres that conduct signals at different speeds.,"Identify the specific type of unmyelinated nerve fibre responsible for transmitting slow, dull, aching pain.",2,"[""C fibres"", ""Type C fibres"", ""Group C fibres""]","[Subtopic: Neurophysiology] C fibres are small-diameter, unmyelinated fibres that conduct signals slowly (0.5–2.0 m/s) and are associated with 'second' or dull, aching pain.",2026-05-16T10:21:02.719006
SAQ_070567CC_Q1,"F. Skin, UroGenital, Endocrine and Reproduction (SUGER)",Physiological features of the reproductive system,A 28-year-old woman presents to her GP for preconception counseling. She has a regular 28-day menstrual cycle and is tracking her ovulation in hopes of conceiving.,,Name the hypothalamic hormone that is released in a pulsatile manner to stimulate the anterior pituitary gland to secrete follicle-stimulating hormone (FSH) and luteinising hormone (LH).,1,"[""Gonadotropin-releasing hormone"", ""GnRH"", ""Gonadotrophin-releasing hormone""]","[Subtopic: Physiological features of the reproductive system] The HPO axis begins with the pulsatile release of GnRH from the hypothalamus, which acts on the gonadotrophs of the anterior pituitary.",2026-05-16T10:21:31.490855
SAQ_070567CC_Q2,"F. Skin, UroGenital, Endocrine and Reproduction (SUGER)",Physiological features of the reproductive system,A 28-year-old woman presents to her GP for preconception counseling. She has a regular 28-day menstrual cycle and is tracking her ovulation in hopes of conceiving.,"During the follicular phase, the recruitment and maturation of follicles involves complex hormonal interactions between the pituitary and the ovary, often referred to as the 'two-cell, two-gonadotropin' theory.",Identify the specific layer of cells within the ovarian follicle that is stimulated by LH to produce androgens (such as androstenedione).,2,"[""Theca cells"", ""Theca interna"", ""Theca interna cells""]","[Subtopic: Physiological features of the reproductive system] According to the two-cell theory, LH stimulates theca cells to produce androgens, which then diffuse to the granulosa cells to be converted into oestrogen via aromatase (stimulated by FSH).",2026-05-16T10:21:31.490862
SAQ_070567CC_Q3,"F. Skin, UroGenital, Endocrine and Reproduction (SUGER)",Physiological features of the endocrine system,A 28-year-old woman presents to her GP for preconception counseling. She has a regular 28-day menstrual cycle and is tracking her ovulation in hopes of conceiving.,Successful ovulation requires a switch from negative to positive feedback by oestrogen on the pituitary gland and hypothalamus.,Name the pituitary hormone that reaches a peak concentration ('surge') approximately 24 to 36 hours before ovulation occurs.,1,"[""Luteinising hormone"", ""LH"", ""Luteinizing hormone""]","[Subtopic: Physiological features of the endocrine system] High levels of oestrogen at the end of the follicular phase trigger a positive feedback loop, resulting in a surge of LH from the anterior pituitary, which triggers the final maturation and release of the oocyte.",2026-05-16T10:21:31.490864
SAQ_070567CC_Q4,"F. Skin, UroGenital, Endocrine and Reproduction (SUGER)",Histology of SUGER,A 28-year-old woman presents to her GP for preconception counseling. She has a regular 28-day menstrual cycle and is tracking her ovulation in hopes of conceiving.,"Following ovulation, the lining of the uterus undergoes specific histological changes to prepare for potential implantation.",Name the specific histological layer of the endometrium that is shed during the menstrual phase of the cycle.,2,"[""Stratum functionalis"", ""Functional layer"", ""Functional zone"", ""Endometrial functional layer""]",[Subtopic: Histology of SUGER] The endometrium is divided into the stratum basalis (which remains intact) and the stratum functionalis. The stratum functionalis proliferates and becomes secretory during the cycle but is shed if fertilisation does not occur.,2026-05-16T10:21:31.490866
SAQ_070567CC_Q5,"F. Skin, UroGenital, Endocrine and Reproduction (SUGER)",Physiological features of the reproductive system,A 28-year-old woman presents to her GP for preconception counseling. She has a regular 28-day menstrual cycle and is tracking her ovulation in hopes of conceiving.,The corpus luteum is formed from the remnants of the Graafian follicle and acts as a temporary endocrine organ during the luteal phase.,Name the steroid hormone produced in high quantities by the corpus luteum that induces the 'secretory phase' of the uterine cycle.,2,"[""Progesterone""]","[Subtopic: Physiological features of the reproductive system] Progesterone is the dominant hormone of the luteal phase. It induces secretory changes in the endometrium (tortuous glands, increased vascularity) to facilitate implantation.",2026-05-16T10:21:31.490867
SAQ_070567CC_Q6,"F. Skin, UroGenital, Endocrine and Reproduction (SUGER)",Anatomical features of the urogenital and pelvic organs,A 28-year-old woman presents to her GP for preconception counseling. She has a regular 28-day menstrual cycle and is tracking her ovulation in hopes of conceiving.,"If coitus occurs during the fertile window, sperm must travel from the vagina through the cervix and uterus to reach the site of fertilisation.",Identify the specific anatomical region of the uterine (fallopian) tube where fertilisation most commonly occurs.,2,"[""Ampulla"", ""Ampulla of the uterine tube"", ""Ampulla of the fallopian tube""]","[Subtopic: Anatomical features of the urogenital and pelvic organs] The ampulla is the widest and longest part of the uterine tube, situated between the infundibulum and the isthmus, and is the physiological site of fertilisation.",2026-05-16T10:21:31.490871
SAQ_0D30A65D_Q1,G. Musculoskeletal (MSK),ILA 10 - Distal Radius Fracture,"A 72-year-old woman is brought to the Emergency Department after falling onto her outstretched right hand. She has an obvious ""dinner-fork"" deformity of the wrist. Radiographs confirm a fracture of the distal radius.",,List the two carpal bones that articulate directly with the distal radius to form the radiocarpal joint.,2,"[""Scaphoid and Lunate"", ""Scaphoid, Lunate"", ""Lunate and Scaphoid"", ""The scaphoid and the lunate""]","[Subtopic: ILA 10 - Distal Radius Fracture] The distal radius articulates with the scaphoid and lunate bones of the proximal carpal row. The triquetrum articulates with the articular disc of the distal radioulnar joint, not the radius itself.",2026-05-16T10:22:02.360793
SAQ_0D30A65D_Q2,G. Musculoskeletal (MSK),Histology,"A 72-year-old woman is brought to the Emergency Department after falling onto her outstretched right hand. She has an obvious ""dinner-fork"" deformity of the wrist. Radiographs confirm a fracture of the distal radius.","The outer layer of the radius consists of dense, cortical bone organized into functional microscopic units.",Name the structural units that comprise cortical bone and the central canal within each unit that houses the neurovascular bundle.,2,"[""Osteons and Haversian canals"", ""Osteon and Haversian canal"", ""Osteons, Haversian canal"", ""Haversian systems and Haversian canals""]",[Subtopic: Histology] Cortical (compact) bone is made of repeating units called osteons (or Haversian systems). Each osteon contains a central Haversian canal containing blood vessels and nerves.,2026-05-16T10:22:02.360804
SAQ_0D30A65D_Q3,G. Musculoskeletal (MSK),Bone,"A 72-year-old woman is brought to the Emergency Department after falling onto her outstretched right hand. She has an obvious ""dinner-fork"" deformity of the wrist. Radiographs confirm a fracture of the distal radius.",The mechanical strength of the radius is provided by its specialized extracellular matrix.,Name the primary type of collagen found in the organic bone matrix and the specific calcium-phosphate mineral crystal that makes up the inorganic component.,2,"[""Type 1 collagen and hydroxyapatite"", ""Type I collagen and hydroxyapatite"", ""Collagen type 1 and hydroxyapatite"", ""Type 1 collagen and calcium hydroxyapatite""]","[Subtopic: Bone] Bone matrix is a composite material. The organic part is primarily Type 1 collagen (providing tensile strength), while the inorganic part is hydroxyapatite (providing compressive strength).",2026-05-16T10:22:02.360807
SAQ_0D30A65D_Q4,G. Musculoskeletal (MSK),Biochemistry/homeostasis,"A 72-year-old woman is brought to the Emergency Department after falling onto her outstretched right hand. She has an obvious ""dinner-fork"" deformity of the wrist. Radiographs confirm a fracture of the distal radius.",Mineral homeostasis is essential for normal bone maintenance and the healing process following a fracture.,Name the hormone secreted by the parathyroid glands in response to low serum calcium and identify the bone-resorbing cell type it indirectly stimulates to release calcium into the blood.,2,"[""Parathyroid hormone and osteoclasts"", ""PTH and osteoclasts"", ""Parathyroid hormone (PTH) and osteoclasts""]","[Subtopic: Biochemistry/homeostasis] Parathyroid hormone (PTH) is released when blood calcium is low. It binds to receptors on osteoblasts, which then signal to osteoclasts (via RANKL) to increase bone resorption.",2026-05-16T10:22:02.360809
SAQ_0D30A65D_Q5,G. Musculoskeletal (MSK),Muscle,"A 72-year-old woman is brought to the Emergency Department after falling onto her outstretched right hand. She has an obvious ""dinner-fork"" deformity of the wrist. Radiographs confirm a fracture of the distal radius.",The clinician assesses the patient's motor function to ensure the injury has not compromised the nerves supplying the forearm muscles.,Name the neurotransmitter released at the neuromuscular junction to initiate skeletal muscle contraction and the specific ion whose influx into the nerve terminal triggers this release.,2,"[""Acetylcholine and Calcium"", ""ACh and Calcium"", ""Acetylcholine and Ca2+"", ""ACh and Ca2+""]","[Subtopic: Muscle] At the neuromuscular junction, an action potential reaches the presynaptic terminal, opening voltage-gated calcium channels. The resulting calcium influx triggers the exocytosis of acetylcholine (ACh).",2026-05-16T10:22:02.360811
